A1 | Aller à la pharmacie pour demander un médicament contre la fièvre
A1 | Un kinésithérapeute explique les mouvements à faire pour soulager un mal de dos
A1 | Visite chez le docteur suite à une piqure d'abeille
A1 | Visite chez le docteur suite à de violents maux de tête
B1 | Pour ou contre l'interdiction des téléphones portables au lycée
B1 | L'utilisation des réseaux sociaux chez les adolescents
A1 | Décris les chanteurs populaires chez les adolescents en France.
A2 | Jules qui habite Toucy en France écrit à Niels pour lui décrire sa ville et le lycée Pierre Larousse
A2 | Tu t'appelles Niels et tu habites Amersfoort. Tu écris un mail à ton correspondant Français Jules pour lui décrire ta ville
A2 | Le réchauffement climatique
A1 | Faire les courses
A1 | La météo aujourd’hui
A1 | Mes loisirs
A1 | Au café
A1 | Mon logement
A1 | Ma famille
A1 | Une journée typique
A2 | Décris ta maison à la campagne
A2 | Tu es français. Ecris une lettre en français à ton correspondant hollandais pour te présenter
A2 | Un repas au restaurant
A2 | Préparer un repas de fête
A2 | Célébrer un anniversaire
A1 | Le repas de Noël en France
A1 | Changer De Gare À Pa
A2 | Es-tu déjà allé en France avec tes parents ? Qu'est ce qui t'a plus lors de ton voyage ?
A2 | Quel est ton sport préféré ?
A2 | Décris ton dernier week-end
A1 | Voyage en France sur la côte d'Azur
A1 | Ma routine quotidienne
A1 | Faire les courses au supermarché
A1 | Ma maison et les pièces
A1 | Se présenter
A2 | Les loisirs des jeunes
A2 | Les loisirs des jeunes
? | ?
? | ?
? | ?
